UNIX time (s),DateTime,Volts,Amps,Watts,Energy (Wh),Freq (Hz),PF,Status
1645108048,2022-02-17 14:27:28,0,239.4,2.3,477.4,643.0,49.9,0.9,0
1645108049,2022-02-17 14:27:28,0,239.4,2.3,477.4,643.0,49.9,0.9,0
1645108049,2022-02-17 14:27:29,0,238.0,8.5,2026.2,644.0,49.9,1.0,0
1645108050,2022-02-17 14:27:29,0,238.0,8.5,2026.2,644.0,49.9,1.0,0
1645108050,2022-02-17 14:27:30,0,238.1,8.4,1992.8,644.0,49.9,1.0,0
1645108051,2022-02-17 14:27:30,0,238.1,8.4,1992.8,645.0,49.9,1.0,0
1645108051,2022-02-17 14:27:31,0,238.1,8.4,1992.8,645.0,49.9,1.0,0
1645108052,2022-02-17 14:27:31,0,238.0,8.3,1978.2,645.0,49.9,1.0,0
1645108052,2022-02-17 14:27:32,0,238.0,8.3,1978.2,645.0,49.9,1.0,0
1645108053,2022-02-17 14:27:32,0,238.0,8.3,1978.2,646.0,49.9,1.0,0
1645108053,2022-02-17 14:27:33,0,237.5,8.3,1964.6,646.0,49.9,1.0,0
1645108054,2022-02-17 14:27:33,0,237.5,8.3,1964.6,646.0,49.9,1.0,0
1645108054,2022-02-17 14:27:34,0,237.4,8.3,1959.6,646.0,49.9,1.0,0
1645108055,2022-02-17 14:27:34,0,237.4,8.3,1959.6,647.0,49.9,1.0,0
1645108055,2022-02-17 14:27:35,0,237.4,8.3,1959.6,647.0,49.9,1.0,0
1645108056,2022-02-17 14:27:35,0,237.2,8.2,1955.0,647.0,49.9,1.0,0
1645108056,2022-02-17 14:27:36,0,237.2,8.2,1955.0,648.0,49.9,1.0,0
1645108057,2022-02-17 14:27:36,0,237.0,8.2,1950.8,648.0,49.9,1.0,0
1645108057,2022-02-17 14:27:37,0,237.0,8.2,1950.8,648.0,49.9,1.0,0
1645108058,2022-02-17 14:27:37,0,237.0,8.2,1950.8,648.0,49.9,1.0,0
1645108058,2022-02-17 14:27:38,0,236.8,8.2,1947.4,649.0,49.9,1.0,0
1645108059,2022-02-17 14:27:38,0,236.8,8.2,1947.4,649.0,49.9,1.0,0
1645108059,2022-02-17 14:27:39,0,236.8,8.2,1947.4,649.0,49.9,1.0,0
1645108060,2022-02-17 14:27:39,0,236.8,8.2,1945.7,650.0,49.9,1.0,0
1645108060,2022-02-17 14:27:40,0,236.8,8.2,1945.7,650.0,49.9,1.0,0
1645108061,2022-02-17 14:27:40,0,236.9,8.2,1946.7,650.0,49.9,1.0,0
1645108061,2022-02-17 14:27:41,0,236.9,8.2,1946.7,650.0,49.9,1.0,0
1645108062,2022-02-17 14:27:41,0,237.0,8.2,1947.9,651.0,49.9,1.0,0
1645108062,2022-02-17 14:27:42,0,237.0,8.2,1947.9,651.0,49.9,1.0,0
1645108063,2022-02-17 14:27:42,0,237.0,8.2,1947.9,651.0,49.9,1.0,0
1645108063,2022-02-17 14:27:43,0,237.1,8.2,1949.9,651.0,49.9,1.0,0
1645108064,2022-02-17 14:27:43,0,237.1,8.2,1949.9,652.0,49.9,1.0,0
1645108064,2022-02-17 14:27:44,0,237.1,8.2,1949.9,652.0,49.9,1.0,0
1645108065,2022-02-17 14:27:44,0,237.0,8.2,1948.5,652.0,49.9,1.0,0
1645108065,2022-02-17 14:27:45,0,237.0,8.2,1948.5,653.0,49.9,1.0,0
1645108066,2022-02-17 14:27:45,0,237.0,8.2,1947.1,653.0,49.9,1.0,0
1645108066,2022-02-17 14:27:46,0,237.0,8.2,1947.1,653.0,49.9,1.0,0
1645108067,2022-02-17 14:27:46,0,237.0,8.2,1947.1,653.0,49.9,1.0,0
1645108067,2022-02-17 14:27:47,0,237.0,8.2,1946.8,654.0,49.9,1.0,0
1645108068,2022-02-17 14:27:47,0,237.0,8.2,1946.8,654.0,49.9,1.0,0
1645108068,2022-02-17 14:27:48,0,235.4,8.2,1921.4,654.0,49.9,1.0,0
1645108069,2022-02-17 14:27:48,0,235.4,8.2,1921.4,654.0,49.9,1.0,0
1645108069,2022-02-17 14:27:49,0,235.4,8.2,1921.4,655.0,49.9,1.0,0
1645108070,2022-02-17 14:27:49,0,236.6,8.2,1940.7,655.0,49.9,1.0,0
1645108070,2022-02-17 14:27:50,0,236.6,8.2,1940.7,655.0,49.9,1.0,0
1645108071,2022-02-17 14:27:50,0,236.6,8.2,1940.7,655.0,49.9,1.0,0
1645108071,2022-02-17 14:27:51,0,236.7,8.2,1942.6,656.0,49.9,1.0,0
1645108072,2022-02-17 14:27:51,0,236.7,8.2,1942.6,656.0,49.9,1.0,0
1645108072,2022-02-17 14:27:52,0,236.8,8.2,1944.0,656.0,49.9,1.0,0
1645108073,2022-02-17 14:27:52,0,236.8,8.2,1944.0,657.0,49.9,1.0,0
1645108073,2022-02-17 14:27:53,0,236.8,8.2,1942.5,657.0,49.9,1.0,0
1645108074,2022-02-17 14:27:53,0,236.8,8.2,1942.5,657.0,49.9,1.0,0
1645108074,2022-02-17 14:27:54,0,236.8,8.2,1942.5,657.0,49.9,1.0,0
1645108075,2022-02-17 14:27:54,0,236.7,8.2,1941.5,658.0,49.9,1.0,0
1645108075,2022-02-17 14:27:55,0,236.7,8.2,1941.5,658.0,49.9,1.0,0
1645108076,2022-02-17 14:27:55,0,236.7,8.2,1941.5,658.0,49.9,1.0,0
1645108076,2022-02-17 14:27:56,0,236.6,8.2,1939.6,658.0,49.9,1.0,0
1645108077,2022-02-17 14:27:56,0,236.6,8.2,1939.6,659.0,49.9,1.0,0
1645108077,2022-02-17 14:27:57,0,236.1,8.2,1932.5,659.0,49.9,1.0,0
1645108078,2022-02-17 14:27:57,0,236.1,8.2,1932.5,659.0,49.9,1.0,0
1645108078,2022-02-17 14:27:58,0,236.1,8.2,1932.5,659.0,49.9,1.0,0
1645108079,2022-02-17 14:27:58,0,236.0,8.2,1930.0,660.0,49.9,1.0,0
1645108079,2022-02-17 14:27:59,0,236.0,8.2,1930.0,660.0,49.9,1.0,0
1645108080,2022-02-17 14:27:59,0,236.0,8.2,1930.0,660.0,49.9,1.0,0
1645108080,2022-02-17 14:28:00,0,235.9,8.2,1928.3,661.0,49.9,1.0,0
1645108081,2022-02-17 14:28:00,0,235.9,8.2,1928.3,661.0,49.9,1.0,0
1645108081,2022-02-17 14:28:01,0,235.9,8.2,1928.5,661.0,49.9,1.0,0
1645108082,2022-02-17 14:28:01,0,235.9,8.2,1928.5,661.0,49.9,1.0,0
1645108082,2022-02-17 14:28:02,0,235.9,8.2,1928.5,662.0,50.0,1.0,0
1645108083,2022-02-17 14:28:02,0,236.0,8.2,1930.3,662.0,49.9,1.0,0
1645108083,2022-02-17 14:28:03,0,236.0,8.2,1930.3,662.0,49.9,1.0,0
1645108084,2022-02-17 14:28:03,0,236.0,8.2,1930.3,662.0,50.0,1.0,0
1645108084,2022-02-17 14:28:04,0,236.0,8.2,1930.3,663.0,49.9,1.0,0
1645108085,2022-02-17 14:28:04,0,236.3,8.2,1934.5,663.0,49.9,1.0,0
1645108085,2022-02-17 14:28:05,0,236.3,8.2,1934.5,663.0,50.0,1.0,0
1645108086,2022-02-17 14:28:05,0,236.3,8.2,1934.5,664.0,50.0,1.0,0
1645108086,2022-02-17 14:28:06,0,236.4,8.2,1935.7,664.0,49.9,1.0,0
1645108087,2022-02-17 14:28:06,0,236.4,8.2,1935.7,664.0,49.9,1.0,0
1645108087,2022-02-17 14:28:07,0,236.4,8.2,1935.7,664.0,49.9,1.0,0
1645108088,2022-02-17 14:28:07,0,236.2,8.2,1933.1,665.0,49.9,1.0,0
1645108088,2022-02-17 14:28:08,0,236.2,8.2,1933.1,665.0,49.9,1.0,0
1645108089,2022-02-17 14:28:08,0,236.1,8.2,1931.6,665.0,49.9,1.0,0
1645108089,2022-02-17 14:28:09,0,236.1,8.2,1931.6,665.0,49.9,1.0,0
1645108090,2022-02-17 14:28:09,0,236.1,8.2,1931.6,666.0,49.9,1.0,0
1645108090,2022-02-17 14:28:10,0,236.1,8.2,1931.7,666.0,49.9,1.0,0
1645108091,2022-02-17 14:28:10,0,236.1,8.2,1931.7,666.0,49.9,1.0,0
1645108091,2022-02-17 14:28:11,0,236.1,8.2,1931.7,666.0,49.9,1.0,0
1645108092,2022-02-17 14:28:11,0,236.1,8.2,1931.5,667.0,49.9,1.0,0
1645108092,2022-02-17 14:28:12,0,236.1,8.2,1931.5,667.0,49.9,1.0,0
1645108093,2022-02-17 14:28:12,0,236.0,8.2,1928.8,667.0,49.9,1.0,0
1645108093,2022-02-17 14:28:13,0,236.0,8.2,1928.8,668.0,49.9,1.0,0
1645108094,2022-02-17 14:28:13,0,236.0,8.2,1928.8,668.0,49.9,1.0,0
1645108094,2022-02-17 14:28:14,0,235.8,8.2,1926.2,668.0,49.9,1.0,0
1645108095,2022-02-17 14:28:14,0,235.8,8.2,1926.2,668.0,49.9,1.0,0
1645108095,2022-02-17 14:28:15,0,235.7,8.2,1924.9,669.0,49.9,1.0,0
1645108096,2022-02-17 14:28:15,0,235.7,8.2,1924.9,669.0,49.9,1.0,0
1645108096,2022-02-17 14:28:16,0,235.7,8.2,1924.9,669.0,49.9,1.0,0
1645108097,2022-02-17 14:28:16,0,235.5,8.2,1921.6,669.0,49.9,1.0,0
1645108097,2022-02-17 14:28:17,0,235.5,8.2,1921.6,670.0,49.9,1.0,0
1645108098,2022-02-17 14:28:17,0,235.7,8.2,1925.0,670.0,49.9,1.0,0
1645108098,2022-02-17 14:28:18,0,235.7,8.2,1925.0,670.0,49.9,1.0,0
1645108099,2022-02-17 14:28:18,0,235.7,8.2,1925.0,670.0,49.9,1.0,0
1645108099,2022-02-17 14:28:19,0,235.7,8.2,1924.8,671.0,49.9,1.0,0
1645108100,2022-02-17 14:28:19,0,235.7,8.2,1924.8,671.0,49.9,1.0,0
1645108100,2022-02-17 14:28:20,0,236.8,8.2,1941.7,671.0,49.9,1.0,0
1645108101,2022-02-17 14:28:20,0,236.8,8.2,1941.7,672.0,49.9,1.0,0
1645108101,2022-02-17 14:28:21,0,236.8,8.2,1941.7,672.0,49.9,1.0,0
1645108102,2022-02-17 14:28:21,0,237.0,8.2,1944.9,672.0,49.9,1.0,0
1645108102,2022-02-17 14:28:22,0,237.0,8.2,1944.9,672.0,49.9,1.0,0
1645108103,2022-02-17 14:28:22,0,237.0,8.2,1944.9,673.0,49.9,1.0,0
1645108103,2022-02-17 14:28:23,0,237.2,8.2,1948.2,673.0,49.9,1.0,0
1645108104,2022-02-17 14:28:23,0,237.2,8.2,1948.2,673.0,49.9,1.0,0
1645108104,2022-02-17 14:28:24,0,237.2,8.2,1947.6,674.0,49.9,1.0,0
1645108105,2022-02-17 14:28:24,0,237.2,8.2,1947.6,674.0,49.9,1.0,0
1645108105,2022-02-17 14:28:25,0,237.2,8.2,1947.6,674.0,49.9,1.0,0
1645108106,2022-02-17 14:28:25,0,237.1,8.2,1946.8,674.0,49.9,1.0,0
1645108106,2022-02-17 14:28:26,0,237.1,8.2,1946.8,675.0,49.9,1.0,0
1645108107,2022-02-17 14:28:26,0,237.4,8.2,1950.6,675.0,49.9,1.0,0
1645108107,2022-02-17 14:28:27,0,237.4,8.2,1950.6,675.0,49.9,1.0,0
1645108108,2022-02-17 14:28:27,0,237.4,8.2,1950.6,675.0,49.9,1.0,0
1645108108,2022-02-17 14:28:28,0,237.6,8.2,1954.6,676.0,49.9,1.0,0
1645108109,2022-02-17 14:28:28,0,237.6,8.2,1954.6,676.0,49.9,1.0,0
1645108109,2022-02-17 14:28:29,0,237.7,8.2,1955.7,676.0,49.9,1.0,0
1645108110,2022-02-17 14:28:29,0,237.7,8.2,1955.7,676.0,49.9,1.0,0
1645108110,2022-02-17 14:28:30,0,237.7,8.2,1955.7,677.0,49.9,1.0,0
1645108111,2022-02-17 14:28:30,0,237.6,8.2,1954.0,677.0,49.9,1.0,0
1645108111,2022-02-17 14:28:31,0,237.6,8.2,1954.0,677.0,49.9,1.0,0
1645108112,2022-02-17 14:28:31,0,237.7,8.2,1956.2,678.0,49.9,1.0,0
1645108112,2022-02-17 14:28:32,0,237.7,8.2,1956.2,678.0,49.9,1.0,0
1645108113,2022-02-17 14:28:32,0,237.7,8.2,1956.2,678.0,49.9,1.0,0
1645108113,2022-02-17 14:28:33,0,237.8,8.2,1956.2,678.0,49.9,1.0,0
1645108114,2022-02-17 14:28:33,0,237.8,8.2,1956.2,679.0,49.9,1.0,0
1645108114,2022-02-17 14:28:34,0,237.8,8.2,1956.2,679.0,49.9,1.0,0
1645108115,2022-02-17 14:28:34,0,237.9,8.2,1958.0,679.0,49.9,1.0,0
1645108115,2022-02-17 14:28:35,0,237.9,8.2,1958.0,679.0,49.9,1.0,0
1645108116,2022-02-17 14:28:35,0,238.0,8.2,1959.7,680.0,49.9,1.0,0
1645108116,2022-02-17 14:28:36,0,238.0,8.2,1959.7,680.0,49.9,1.0,0
1645108117,2022-02-17 14:28:36,0,238.0,8.2,1959.7,680.0,50.0,1.0,0
1645108117,2022-02-17 14:28:37,0,238.0,8.2,1960.5,681.0,49.9,1.0,0
1645108118,2022-02-17 14:28:37,0,238.0,8.2,1960.5,681.0,49.9,1.0,0
1645108118,2022-02-17 14:28:38,0,237.9,8.2,1957.6,681.0,49.9,1.0,0
1645108119,2022-02-17 14:28:38,0,237.9,8.2,1957.6,681.0,49.9,1.0,0
1645108119,2022-02-17 14:28:39,0,237.9,8.2,1957.6,682.0,50.0,1.0,0
1645108120,2022-02-17 14:28:39,0,237.7,8.2,1955.3,682.0,49.9,1.0,0
1645108120,2022-02-17 14:28:40,0,237.7,8.2,1955.3,682.0,49.9,1.0,0
1645108121,2022-02-17 14:28:40,0,237.8,8.2,1956.9,682.0,49.9,1.0,0
1645108121,2022-02-17 14:28:41,0,237.8,8.2,1956.9,683.0,49.9,1.0,0
1645108122,2022-02-17 14:28:41,0,237.8,8.2,1956.9,683.0,49.9,1.0,0
1645108122,2022-02-17 14:28:42,0,237.8,8.2,1956.8,683.0,49.9,1.0,0
1645108123,2022-02-17 14:28:42,0,237.8,8.2,1956.8,684.0,50.0,1.0,0
1645108123,2022-02-17 14:28:43,0,237.8,8.2,1955.5,684.0,49.9,1.0,0
1645108124,2022-02-17 14:28:43,0,237.7,8.2,1955.5,684.0,49.9,1.0,0
1645108124,2022-02-17 14:28:44,0,237.7,8.2,1955.5,684.0,49.9,1.0,0
1645108125,2022-02-17 14:28:44,0,237.7,8.2,1954.0,685.0,49.9,1.0,0
1645108125,2022-02-17 14:28:45,0,237.7,8.2,1954.0,685.0,49.9,1.0,0
1645108126,2022-02-17 14:28:45,0,237.7,8.2,1954.0,685.0,49.9,1.0,0
1645108126,2022-02-17 14:28:46,0,238.5,5.7,1404.2,685.0,50.0,1.0,0
1645108127,2022-02-17 14:28:46,0,238.5,5.7,1404.2,685.0,49.9,1.0,0
1645108239,2022-02-17 14:30:38,0,235.7,4.6,1017.1,686.0,49.9,0.9,0
1645108239,2022-02-17 14:30:39,0,235.7,4.6,1017.1,686.0,49.9,0.9,0
1645108240,2022-02-17 14:30:39,0,235.7,4.6,1017.1,686.0,49.9,0.9,0
1645108240,2022-02-17 14:30:40,0,234.8,8.3,1958.3,686.0,49.9,1.0,0
1645108241,2022-02-17 14:30:40,0,234.8,8.3,1958.3,687.0,49.9,1.0,0
1645108241,2022-02-17 14:30:41,0,234.8,8.2,1932.3,687.0,49.9,1.0,0
1645108242,2022-02-17 14:30:41,0,234.8,8.2,1932.3,687.0,49.9,1.0,0
1645108242,2022-02-17 14:30:42,0,234.8,8.2,1922.0,688.0,49.9,1.0,0
1645108243,2022-02-17 14:30:42,0,234.8,8.2,1922.0,688.0,49.9,1.0,0
1645108243,2022-02-17 14:30:43,0,234.8,8.2,1922.0,688.0,49.9,1.0,0
1645108244,2022-02-17 14:30:43,0,234.7,8.2,1917.7,688.0,49.9,1.0,0
1645108244,2022-02-17 14:30:44,0,234.7,8.2,1917.7,688.0,49.9,1.0,0
1645108245,2022-02-17 14:30:44,0,234.7,8.2,1917.7,689.0,49.9,1.0,0
1645108245,2022-02-17 14:30:45,0,234.8,8.2,1916.3,689.0,49.9,1.0,0
1645108246,2022-02-17 14:30:45,0,234.8,8.2,1916.3,689.0,49.9,1.0,0
1645108246,2022-02-17 14:30:46,0,234.9,8.2,1917.9,690.0,49.9,1.0,0
1645108247,2022-02-17 14:30:46,0,234.9,8.2,1917.9,690.0,49.9,1.0,0
1645108247,2022-02-17 14:30:47,0,234.9,8.2,1917.9,690.0,49.9,1.0,0
1645108248,2022-02-17 14:30:47,0,236.1,3.8,924.6,690.0,49.9,1.0,0
1645108248,2022-02-17 14:30:48,0,236.1,3.8,924.6,690.0,49.9,1.0,0
1645108265,2022-02-17 14:31:05,0,235.6,6.8,1539.2,690.0,49.9,1.0,0
1645108266,2022-02-17 14:31:05,0,235.6,6.8,1539.2,691.0,49.9,1.0,0
1645108266,2022-02-17 14:31:06,0,235.6,6.8,1539.2,691.0,49.9,1.0,0
1645108267,2022-02-17 14:31:06,0,235.0,8.3,1945.3,691.0,49.9,1.0,0
1645108267,2022-02-17 14:31:07,0,235.0,8.3,1945.3,691.0,49.9,1.0,0
1645108268,2022-02-17 14:31:07,0,235.0,8.3,1945.3,692.0,49.9,1.0,0
1645108268,2022-02-17 14:31:08,0,234.9,8.2,1925.7,692.0,49.9,1.0,0
1645108269,2022-02-17 14:31:08,0,234.9,8.2,1925.7,692.0,49.9,1.0,0
1645108269,2022-02-17 14:31:09,0,234.9,8.2,1919.7,693.0,49.9,1.0,0
1645108270,2022-02-17 14:31:09,0,234.9,8.2,1919.7,693.0,49.9,1.0,0
1645108270,2022-02-17 14:31:10,0,234.9,8.2,1919.7,693.0,49.9,1.0,0
1645108271,2022-02-17 14:31:10,0,234.8,8.0,1909.8,693.0,49.9,1.0,0
1645108271,2022-02-17 14:31:11,0,234.8,8.0,1909.8,693.0,49.9,1.0,0
1645108272,2022-02-17 14:31:11,0,234.8,8.0,1909.8,693.0,49.9,1.0,0
1645108272,2022-02-17 14:31:12,0,237.1,0.0,27.3,693.0,49.9,1.0,0
1645108273,2022-02-17 14:31:12,0,237.1,0.0,27.3,693.0,49.9,1.0,0
